id,app_id,title,price
174,103,Starter,Free to install
175,103,Essential,$99.99/month
176,103,Growth,$199.99/month
177,103,Premium,$399/month
178,104,,$8/month
179,105,,$7/month
180,106,Full Featured Plan,$5.92/month
181,107,,$4.50/month
182,108,,$15/month
183,109,Full Featured Plan,$5.32/month
184,110,Full Access Plan,$9.99/month
185,111,,$19.95/month
186,112,,$5/month
187,113,,Free
188,114,,$6/month
189,115,Best value,$4.99/month
190,115,Premium,$6.99/month
191,116,,$7.50/month
192,117,,Free
193,118,,$18.99/month
194,119,Free,Free
195,119,Lite,$3.99/month
196,119,Advanced,$6.99/month
197,119,Premium,$9.99/month
198,120,,$8.95/month
199,121,Free Plan,Free
200,121,Premium plan,$5/month
201,121,ULTIMATE PLAN,$15/month
202,122,Full Access Plan,$9.99/month
203,123,100% FREE FOREVER,Free
204,123,Best Value,$3.99/month
205,124,,$2.90/month
206,125,,$9.95/month
207,126,Public Beta,$50/month
208,127,,$5/month
209,128,,$5/month
210,129,Basic,$9/month
211,129,Pro,$25/month
212,129,Forecasting,$50/month
213,130,,$8.99/month
214,131,,$5.99/month
215,132,,$5/month
216,133,,$14.99/month
217,134,Base,$10/month
218,134,Growth,$20/month
219,134,Established,$40/month
220,134,Custom Plans From,$50/month
221,135,,$5/month
222,136,,$7/month
223,137,,$5.99/month
224,138,,Free
225,139,,$24.99/month
226,140,Free 7 day trial,Free
227,140,Starter Plan,$49/month
228,140,Business Plan,$199/month
229,140,Premium Plan,$399/month
230,141,,$4.99/month
231,142,Best value,$9.99/month
232,143,,Free
233,144,,$0.99/month
234,145,,$14.99/month
235,146,,$14/month
236,147,Basic,$12.99/month
237,147,Professional,$19.99/month
238,147,Enterprise,$24.99/month
239,148,,$3.95/month
240,149,,$3.99/month
241,150,,$5/month
242,151,,Free
243,152,,$9.95/month
244,153,,$19.99/month
245,154,,$4.99/month
246,155,,Free
247,156,,$19/month
248,157,Starter,$9.99/month
249,157,Basic,$24.99/month
250,157,Professional,$49.99/month
251,158,Basic,$4.99/month
252,158,Pro,$29/month
253,158,Power,$49/month
254,158,Elite,$59/month
255,159,,Free
256,160,,$24/month
257,161,,$9/month
258,162,,$8.99/month
259,163,Free Plan,Free
260,163,Professional Plan,$14.95/month
261,164,,Free
262,165,Stock Sync Credit,Free to install
263,165,Basic,$5/month
264,165,Pro - ProXL,$10/month
265,165,Enterprise & more,$49/month
266,166,,$8/month
267,167,,$4.95/month
268,168,,$5/month
269,169,25 orders / mo,$9/month
270,169,150 orders / mo,$19/month
271,169,500 orders / mo,$29/month
272,169,"1,000 orders / mo",$39/month
273,170,,$24.95/month
274,171,,$15.99/month
275,172,Basic,$19/month
276,172,Advanced,$35/month
277,172,Professional,$55/month
278,172,Enterprise,$85/month
279,173,,$14.95/month
280,174,,Free to install
281,175,Professional,$4.99/month
282,176,Basic,Free
283,176,Professional,$25/month
284,176,Business,$50/month
285,176,Business Plus,$100/month
286,177,,$17/month
287,178,Basic Plan,$14.95/month
288,178,Premium Plan,$27.95/month
289,178,Gold Plan,$37.95/month
290,179,,$14.95/month
291,180,Small,$9/month
292,180,Medium,$19/month
293,181,,Free
294,182,,$7/month
295,183,,$2.99/month
296,184,,$7.99/month
297,185,Starter,$9.99/month
298,185,Advance,$25/month
299,185,Premium,$45/month
300,186,,$5/month
301,187,,$5/month
302,188,,$5/month
303,189,,$10/month
304,190,Free,Free
305,190,Pro,$49/month
306,191,,$19.95/month
307,192,Awesome Timesaver,$29/month
308,193,,$6.99/month
309,194,,$2.99/month
310,195,,$4.99/month
311,196,,Free
312,197,,$4.99/month
313,198,,$4.99/month
314,199,Performance Plan,$4/month
315,200,,$2.99/month
316,201,,$5.99/month
317,202,,Free
318,203,Free,Free
319,203,Unlimited,$14.99/month
320,204,Starter Plan,$4.99/month
321,204,Advance,$19.99/month
322,204,Premium,$39.99/month
323,204,Gold,$149.99/month
324,205,CustomCat Lite,Free
325,205,CustomCat,$30/month
326,206,,$2.99/month
327,207,Default plan,$7/month
328,208,,$5/month
329,209,,$8.95/month
330,210,,$4.99/month
331,211,,$19.95/month
332,212,,$29.99/month
333,213,,$9/month
334,214,,$12/month
335,215,Standard,$25/month
336,215,Shopify Plus,$75/month
337,216,,$39.99/month
338,217,,$1.99/month
339,218,,$4/month
340,219,,$8.95/month
341,220,,$12.99/month
342,221,,$9.80/month
343,222,,$18.95/month
344,223,,$9.99/month
345,224,,$17.99/month
346,225,,$49/month
347,226,,$15/month
348,227,,$15.95/month
349,228,,Free
350,229,,$19.95/month
351,230,,$9.90/month
352,231,,Free to install
353,232,Basic Plan,$14.95/month
354,232,Premium Plan,$24.95/month
355,233,,$2.99/month
356,234,,$2.99/month
357,235,,$9/month
358,236,,$1.99/month
359,237,FREE,Free
360,237,Unlimited,$29.99/month
361,238,,$4.99/month
362,239,,$6.99/month
363,240,,$6.99/month
364,241,Free Plan,Free
365,241,Premium Plan,$4.99/month
366,242,,$2.99/month
367,243,,$9.95/month
368,244,,$11.99/month
369,245,Basic Plan,$14.95/month
370,245,Premium Plan,$24.95/month
371,246,,$13.99/month
372,247,Free,Free
373,247,Basic,$14.99/month
374,247,Professional,$19.99/month
375,247,Advanced,$39.99/month
376,248,,Free to install
377,249,,$4.99/month
378,250,Silver,$5.95/month
379,250,Gold,$14.95/month
380,250,Platinum,$24.95/month
381,251,,$20/month
382,252,,$1.99/month
383,253,,Free
384,254,,$6/month
385,255,,$5/month
386,256,,$3.99/month
387,257,,$6.99/month
388,258,Premium,$9.99/month
389,258,Gold,$19.99/month
390,259,,$25 one time charge
391,260,,$14.99/month
392,261,,$10/month
393,262,,$39/month
394,263,,$5.99/month
395,264,,Free
396,265,,$2.99/month
397,266,,$62.50/month
398,267,,Free to install
399,268,,$4/month
400,269,,$9.99/month
401,270,,$5.99/month
402,271,For Small Retailer,$24/month
403,271,For Mid-Business,$47/month
404,271,For Larger Company,$180/month
405,272,,$4.65/month
406,273,,$6.99/month
407,274,,$7.99/month
408,275,,$5/month
409,276,Basic Plan,$3.99/month
410,276,Standard Plan,$6.99/month
411,276,Advanced Plan,$11.99/month
412,276,Pro Plan,$14.99/month
413,277,Always FREE,Free
414,277,Premium plan,$8.99/month
415,278,,$9.99/month
416,279,,$5/month
417,280,Monthly Plan,$9.99/month
418,281,,Free
419,282,,$5/month
420,283,,$4/month
421,284,,$39/month
422,285,,$5/month
423,286,Basic,Free
424,286,Plus,$20/month
425,286,Professional,$50/month
426,287,,$5/month
427,288,Premium plan,$9.99/month
428,289,,$4.99/month
429,290,Premium Plan,$4.99/month
430,291,Free,Free
431,291,Micro,$4.99/month
432,291,Pro,$9.99/month
433,291,Advanced,$19.99/month
434,292,Premium Plan,$3.50/month
435,293,Pro,$9.99/month
436,293,Premium,$24.99/month
437,294,Basic,$24.99/month
438,295,Basic,Free
439,295,Premium,$49/month
440,295,Custom,$99/month
441,296,,Free to install
442,297,FREE,Free
443,297,PRO,$9.95/month
444,297,PREMIUM,$29.95/month
445,298,,$11/month
446,299,,Free
447,300,,$19.99/month
448,301,,$6.99/month
449,302,,$11.99/month
450,303,,$14.99/month
451,304,Premium Plan,$9.99/month
452,305,,$3/month
453,306,,$50 one time charge
454,307,Free,Free
455,307,Basic,$9.99/month
456,307,Premium,$24.99/month
457,308,,$3/month
458,309,,$2.75/month
459,310,Premium Plan,$4.99/month
460,311,Free Plan,Free
461,311,Unlimited Plan,$10/month
462,312,,$9.99 one time charge
463,313,,$29.99/month
464,314,,Free
465,315,Bronze Plan,$5/month
466,315,Silver Plan,$15/month
467,315,Gold Plan,$30/month
468,315,Platinum Plan,$40/month
469,316,Basic,$7.99/month
470,316,Basic + Reminders,$9.99/month
471,316,Big,$17.99/month
472,316,Bigger,$29.99/month
473,317,,$3.99/month
474,318,,$5/month
475,319,,$14.99/month
476,320,,$5/month
477,321,One plan,$2/month
478,322,,$47/month
479,323,,Free
480,324,,Free to install
481,325,Free,Free
482,325,Automatic,$9/month
483,326,,Free
484,327,,$4.99/month
485,328,,$5.99/month
486,329,,$5.99/month
487,330,,$3/month
488,331,,$15/month
489,332,,$49/month
490,333,,$1/month
491,334,,Free
492,335,,$6.99/month
493,336,,$10/month
494,337,,Free to install
495,338,,$5/month
496,339,,$12.99/month
497,340,,$0.99/month
498,341,,$24.95/month
499,342,Premium Plan,$2.99/month
500,343,,$8.95/month
501,344,Using Seguno,Free
502,344,Not using Seguno,$9/month
503,345,,$3.99/month
504,346,Standard,$4.99/month
505,347,,$9.99/month
506,348,,Free
507,349,,$4.99/month
508,350,,$29/month
509,351,,$10/month
510,352,,$4.99/month
511,353,,$3/month
512,354,,$7/month
513,355,,$15/month
514,356,,$10/month
515,357,Basic,$10/month
516,357,Pro,$20/month
517,357,Advanced,$60/month
518,358,,$5/month
519,359,,Free to install
520,360,,$10/month
521,361,,$9.99/month
522,362,,$14/month
523,363,,$6.99/month
524,364,,$9.50/month
525,365,,$2.99/month
526,366,,$2.49/month
527,367,,$6.95/month
528,368,Basic plan,$14.92/month
529,368,PRO plan,$54.92/month
530,369,Basic,$9.99/month
531,369,Premium,$29.99/month
532,370,Bronze,$24.95/month
533,370,Silver,$49.95/month
534,370,Gold,$79.95/month
535,371,,$7.99/month
536,372,Free Plan,Free
537,372,Basic Plan,$9.99/month
538,372,Professional Plan,$19.99/month
539,372,Advanced Plan,$49.99/month
540,373,Basic plan,$14/month
541,374,,$10/month
542,375,,$24.99/month
543,376,Premium,$8.99/month
544,377,Basic Plan,$6.99/month
545,377,Premium Plan,$14.99/month
546,378,Free Plan,Free
547,378,Basic Plan,$15/month
548,378,Standard Plan,$29/month
549,379,Small,$14/month
550,379,Medium,$24/month
551,379,Large,$34/month
552,380,,$39.99/month
553,381,Starter Plan,Free
554,381,Basic Plan,$9.99/month
555,381,Premium Plan,$29.99/month
556,381,Enterprise Plan,$59.99/month
557,382,,$7.99/month
558,383,,Free to install
559,384,,$5/month
560,385,,Free
561,386,,$2.99/month
562,387,,$9.99/month
563,388,Startup,$49/month
564,388,Business,$99/month
565,388,Growth,$149/month
566,389,,$20/month
567,390,Free,Free
568,390,Starter,$2.99/month
569,390,Basic,$9.99/month
570,390,Standard,$19.99/month
571,391,,$2/month
572,392,,$5.99/month
573,393,Free Plan,Free
574,393,Starter,$9.99/month
575,393,Express,$19.99/month
576,393,Platinum,$49.99/month
577,394,,$6.99/month
578,395,,$59 one time charge
579,396,Lite,Free
580,396,Basics,$5/month
581,396,Premium,$12/month
582,397,,$9.99/month
583,398,Free For Life,Free
584,398,Premium Plan,$9.95/month
585,399,Small,Free
586,399,Medium,$5.99/month
587,399,Large,$10.99/month
588,399,X-Large,$19.99/month
589,400,Free,Free
590,400,Plus,$9.99/month
591,400,Pro,$24.99/month
592,401,Free Plan,Free
593,401,Basic Plan,$1.99/month
594,401,Professional Plan,$7.99/month
595,401,Business Plan,$25.99/month
596,402,Standard plan,$19.99/month
597,403,,$5.99/month
598,404,,$9.99/month
599,405,,$9.99/month
600,406,,$2.99/month
601,407,,$9.99/month
602,408,,$2.99/month
603,409,,$4.99/month
604,410,,$6.99/month
605,411,FREE - LIMITED,Free
606,411,UNLIMITED PLUS,$5/month
607,412,FREE,Free
608,412,STARTER,$19/month
609,412,GROWTH,$29/month
610,412,PROFESSIONAL,$49/month
611,413,,$4.99/month
612,414,,$37 one time charge
613,415,,Free to install
614,416,,$7.99/month
615,417,,$9.99/month
616,418,Free,Free
617,418,Lite,$7/month
618,418,Premium,$19/month
619,418,Plus,$29/month
620,419,,$6.99/month
621,420,,$6.99/month
622,421,Re:amaze Basic,$20/month
623,421,Re:amaze Pro,$40/month
624,421,Re:amaze Starter,$50/month
625,421,Re:amaze Plus,$60/month
626,422,Starter,Free
627,422,Basic,$4.99/month
628,422,Pro,$7.50/month
629,422,Advanced,$14.99/month
630,423,Free Plan,Free
631,423,Advanced Plan,$19.95/month
632,424,Basic,$49/month
633,425,Starter,$14/month
634,425,Pro,$49/month
635,425,Unlimited,$99/month
636,426,,Free to install
637,427,Free plan,Free
638,427,Elite plan,$9.95/month
639,428,SendCloud Lite,Free
640,428,SendCloud Flex,$99/month
641,428,SendCloud Plus,$189/month
642,428,Flex mini,$39/month
643,429,Free Plan,Free
644,429,Advanced Plan,$8.95/month
645,430,Starter,$8.99/month
646,430,Pro,$15.99/month
647,430,Business,$49.99/month
648,430,Free,Free
649,431,,$7.99/month
650,432,,Free
651,433,,Free
652,434,Forever Free,Free
653,434,Awesome,$15/month
654,435,PRO PLAN,$3.99/month
655,436,,$10/month
656,437,,Free to install
657,438,,$27/month
658,439,Unlimited Plan,$4.95/month
659,440,Business,$29.95/month
660,440,Pro,$16.95/month
661,440,Basic,$7.95/month
662,441,Micro Plan,Free
663,441,Mini Plan,$29.95/month
664,441,Small Plan,$99.95/month
665,441,Medium Plan,$249.95/month
666,442,,Free
667,443,,$19/month
668,444,Basic,$10/month
669,444,Plus,$20/month
670,444,Premium,$40/month
671,445,Free,Free
672,445,Starter plan,$5.99/month
673,445,Business plan,$24.99/month
674,446,,Free to install
675,447,Bronze Plan,$5/month
676,447,Silver Plan,$20/month
677,447,Gold Plan,$45/month
678,447,Platinum Plan,$100/month
679,448,Free,Free
680,448,Starter,$49/month
681,448,Growth,$199/month
682,448,Pro,$599/month
683,449,Starter,$19.99/month
684,449,Moderate,$29.99/month
685,449,Advance,$49.99/month
686,449,Professional,$99.99/month
687,450,Free,Free
688,450,Bronze,$15/month
689,450,Silver,$30/month
690,450,Gold,$75/month
691,451,100MB,$19.99/month
692,451,500MB,$39.99/month
693,451,1GB,$49.99/month
694,451,2GB,$59.99/month
695,452,Unlimited Plan,$4.95/month
696,453,Standard,$8.90/month
697,453,Shopify Plus,$24.90/month
698,454,Essential,$1.99/month
699,454,Pro,$4.49/month
700,455,Unlimited Plan,$4.95/month
701,456,Starter,$99/month
702,456,Power,$299/month
703,456,Premium,$599/month
704,457,Free,Free
705,457,Starter,$14.99/month
706,457,Professional,$29.99/month
707,457,Business,$99.99/month
708,458,Intro,$29/month
709,458,Small Business,$99/month
710,458,Plus,$299/month
711,458,Enterprise,"$1,000/month"
712,459,Starter,$249/month
713,459,Growing,$499/month
714,459,Enterprise,$999/month
715,460,,$4.99/month
716,461,Free Plan,Free
717,461,Basic Plan,$4.99/month
718,461,Standard Plan,$14.99/month
719,461,Unlimited Plan,$34.99/month
720,462,,$9.99/month
721,463,,Free to install
722,464,,$9/month
723,465,FREE,Free
724,465,Basic,$4.95/month
725,465,Standard,$9.95/month
726,465,Advanced,$19.95/month
727,466,Startup,$9/month
728,466,Pro,$19/month
729,466,Business,$29/month
730,467,,$9.95/month
731,468,Premium Plan,$4.95/month
732,469,,$9.99/month
733,470,,Free
734,471,Free Plan,Free
735,471,Paid Plan,$5/month
736,472,Free,Free
737,472,Basic,$14.99/month
738,472,Pro,$29.99/month
739,472,Business,$49.99/month
740,473,,Free
741,474,,Free
742,475,,$7.99/month
743,476,Basic,$8.99/month
744,476,Pro,$16.99/month
745,477,Basic Shopify,$9/month
746,477,Shopify,$14/month
747,477,Advanced Shopify,$23/month
748,477,Shopify Plus,$26/month
749,478,Classic Plan,$8.99/month
750,478,Pro Plan,$18.99/month
751,479,Atlantic City,Free
752,479,Macau,$8.99/month
753,479,Las Vegas,$12.99/month
754,480,Development Plan,Free
755,480,Production Plan,$20/month
756,481,Basic,$19/month
757,481,Standard,$29/month
758,481,Advanced,$49/month
759,481,Shopify Plus,$99/month
760,482,,Free to install
761,483,,$5.99/month
762,484,,$9.99/month
763,485,Starter Plan,$8/month
764,485,Pro Plan,$14/month
765,486,,$5.99/month
766,487,Fixed plan,$34.95/month
767,488,Fixed plan,$9.95/month
768,489,Pay Monthly,$14.99/month
769,490,,$3.49/month
770,491,Lite,Free
771,491,Basic,$15/month
772,491,Premium,$29/month
773,491,Business,$69/month
774,492,Small,$10/month
775,492,Medium,$20/month
778,493,,Free to install
779,494,Standard,Free
780,494,Premium,$11.99/month
781,494,Premium Plus,$19.99/month
782,495,Starter,$79/month
783,495,Growth,$289/month
784,495,Business,$649/month
785,496,Basic,$19/month
786,496,Plus,$39/month
787,496,Premium,$79/month
788,497,Flat,$49/month
789,498,PRO PLAN,$5.45/month
790,499,,$7.99/month
791,500,,$4.99/month
792,501,Bronze Plan,$7/month
793,501,Silver Plan,$15/month
794,501,Gold Plan,$45/month
795,502,Basic Plan,$8.95/month
796,502,Business Plan,$19.95/month
797,502,Business Plus Plan,$34.95/month
798,503,,$2.99/month
799,504,Basic Plan,$4.99/month
800,504,Advance Plan,$7.99/month
801,505,Lite Plan,$30/month
802,505,Standard Plan,$60/month
803,505,Pro Plan,$150/month
804,506,Free,Free to install
805,506,Startup,$75/month
806,506,Professional,$250/month
807,507,,Free
808,508,,$19/month
809,509,FREE,Free
810,509,Small,$4.99/month
811,509,Startup,$9.99/month
812,509,Standard And Up,$16.99/month
813,510,Shopify shops,$10/month
814,510,Shopify Plus shops,$15/month
815,511,Platinum,$5.99/month
816,511,Silver,$19.99/month
817,511,Gold,$39.99/month
818,512,Professional,$7.99/month
819,512,Unlimited,$19.99/month
820,513,,Free to install
821,514,,$1.99/month
822,515,Basic Plan,Free
823,515,Pro Plan,$29.99/month
824,516,,$10/month
825,517,,$69/month
826,518,Free plan,Free
827,518,Pro plan,$9/month
828,519,Bronze,Free
829,519,Silver,$5.99/month
830,519,Gold,$9.99/month
831,519,Platinum,$12.99/month
832,520,Unlimited Plan,$14.95/month
833,521,250 emails / month,Free
834,521,2K emails / month,$19/month
835,521,10K emails / month,$69/month
836,521,20K emails / month,$129/month
837,522,,Free to install
838,523,Basic Plan,Free
839,523,Essential Plan,$12/month
840,524,Starter Plan,Free
841,524,Basic Plan,$4.95/month
842,524,Advanced Plan,$9.95/month
843,524,Plus Plan,$19.95/month
844,525,,Free
845,526,5 Reps,$3.99/month
846,526,30 Reps,$6.99/month
847,526,100 reps,$12.99/month
848,526,Unlimited reps,$19.99/month
849,527,,Free to install
850,528,,Free to install
851,529,BASIC,Free
852,529,SMALL,$0.99/month
853,529,MEDIUM,$3.95/month
854,529,LARGE,$9.95/month
855,530,Free Plan,Free
856,530,Starter,$9.99/month
857,530,Express,$19.99/month
858,530,Platinum,$49.99/month
859,531,Team,$39/month
860,532,FREE,Free to install
861,532,GROWTH,$24/month
862,532,PRO,$39/month
863,532,EXEC,$79/month
864,533,Starter,Free
865,533,Bronze Plan,$23.98/month
866,533,Silver Plan,$59.98/month
867,533,Gold Plan,$79.98/month
868,534,Startup,$5/month
869,534,Pro,$15/month
870,534,Ultimate,$49/month
871,535,,$10.99/month
872,536,Free plan,Free
873,536,Pro Plan,$19/month
874,537,Basic Shopify,$9/month
875,537,Shopify,$29/month
876,537,Advanced Shopify,$99/month
877,537,Shopify Plus,$199/month
878,538,Free Plan,Free
879,538,Starter,$9.99/month
880,538,Express,$19.99/month
881,538,Platinum,$49.99/month
882,539,Pay as you grow,$20/month
883,540,Free,Free
884,540,Basic,$9.99/month
885,540,Pro,$49.99/month
886,541,,$199.99/month
887,542,Basic,$10/month
888,542,Shopify,$25/month
889,542,Advanced Shopify,$50/month
890,542,Shopify Plus,$115/month
891,543,Solo,$49/month
892,543,Team,$99/month
893,543,Professional,$189/month
894,543,Business,$329/month
895,544,Extra Small,$4.99/month
896,544,Small,$8.99/month
897,544,Medium,$18.99/month
898,544,Large,$28.99/month
899,545,,Free to install
900,546,Free Plan,Free
901,546,"2,000 Subscribers",$16/month
902,546,"5,000 Subscribers",$33/month
903,546,"10,000 Subscribers",$165/month
904,547,Premium,$9.99/month
907,548,Free plan,Free
908,548,Basic plan,$19/month
909,548,Pro plan,$49/month
910,548,Agency plan,$99/month
911,549,Basic Plan,$9.99/month
912,549,Premium,$19.99/month
913,549,Free,Free
914,550,,$5/month
915,551,,$0.99 one time charge
916,552,Basic,$6.99/month
917,552,Pro,$9.99/month
918,552,Premium,$15.99/month
919,553,Free Plan,Free
920,553,Starter,$9.99/month
921,553,Express,$19.99/month
922,553,Platinum,$49.99/month
923,554,,$5/month
924,555,,$8/month
925,556,Small,$12.99/month
926,556,Medium,$24.99/month
927,556,Large,$49.99/month
928,557,Standard,$4.99/month
929,557,Premium,$9.99/month
930,557,Pro,$14.99/month
931,558,Free plan,Free
932,558,Small business,$159/month
933,558,Classic,$399/month
934,558,Advanced,$699/month
935,559,Standard Plan,$19.95/month
936,559,Professional Plan,$49.95/month
937,559,Premium Plan,$99.95/month
938,560,Base,$5/month
939,560,Growth,$10/month
940,560,Established,$20/month
941,561,Basic Social,$14.99/month
942,561,Advanced Social,$29.99/month
943,562,Basic Plan,$49/month
944,562,Plus Plan,$99/month
945,562,Pro Plan,$179/month
946,563,,$7.95/month
947,564,Small,$25/month
948,564,Medium,$65/month
949,564,Large,$195/month
950,565,,$9.99/month
951,566,Free Edition,Free
952,566,Advanced Edition,$9/month
953,567,Free,Free
954,567,Basic,$14.99/month
955,567,Professional,$19.99/month
956,567,Advanced,$39.99/month
957,568,,Free
958,569,,$9.95/month
959,570,Basic Plan,Free
960,570,Premium Plan,$9.99/month
961,571,Email-only,$5/month
962,571,Starter,$16/month
963,571,Intermediate,$28/month
964,571,Pro,$45/month
965,572,,$29/month
966,573,,$30 one time charge
967,574,,Free to install
968,575,FREE,Free
969,575,GROWTH,$50/month
970,576,Free,Free
971,576,Starter,$19/month
972,576,Pro,$79/month
973,576,Business,$249/month
974,577,<100 Sales Orders,$60/month
975,577,500 Sales Orders,$90/month
976,577,1k Sales Orders,$135/month
977,577,3k Sales Orders,$190/month
978,578,5 Active Tickets,$15/month
979,578,10 Active Tickets,$30/month
980,578,15 Active Tickets,$45/month
981,578,20 Active Tickets,$60/month
982,579,Demo,Free
983,579,Basic,$20/month
984,579,Big,$50/month
985,579,Enterprise,$200/month
986,580,Essential Plan,$29/month
987,580,Plus Plan,$39/month
988,580,Giant Count Add-on,$159/month
989,581,Basic,Free
990,581,Premium,$19/month
991,582,Micro,$4.99/month
992,582,Starter,$9.99/month
993,582,Basic,$19.99/month
994,582,Professional,$59.99/month
995,583,Free,Free
996,583,Lead Capture,$9.99/month
997,583,Email Marketing,$4.99/month
998,584,,Free
999,585,Standard,$8/month
1000,585,Advanced,$20/month
1001,585,Shopify Plus,$50/month
1002,586,FREE,Free
1003,586,STARTER,$9/month
1004,586,PROFESSIONAL,$49/month
1005,587,Free,Free
1006,587,Beginner,$14/month
1007,587,Professional,$39/month
1008,588,Basic,Free
1009,588,Pro,$2.99/month
1010,589,,$4.95/month
1011,590,,$4.95/month
1012,591,,$4.99/month
1013,592,,$5.99/month
1014,593,,$19.99/month
1015,594,,$19.99/month
1016,595,Free,Free
1017,595,Plus,$24/month
1018,595,Commerce,$79/month
1019,595,Growth,$299/month
1020,596,Starter,$150/month
1021,596,Growth,$300/month
1022,597,Basic,Free
1023,597,Premium,$10/month
1024,598,,$7.99/month
1025,599,,Free
1026,600,,$17.50/month
1027,601,Basic,$7.95/month
1028,601,Pro,$15.95/month
1029,601,Ultimate,$24.95/month
1030,602,,$14/month
1031,603,Starter,$299/month
1032,604,Free Watermarks,Free
1033,604,Regular Shops,$7.99/month
1034,604,Large Shops,$14.99/month
1035,604,Regular Shops,$4.00/month
1036,605,Free,Free
1037,605,Premium,$9.50/month
