app_id,title,description
11,Unlimited Product Options,"Display variant options as buttons, color swatches, image swatches, and more. Use as a product customizer w/ custom text boxes & file upload"
11,Custom Style Product Options,"Customize your buttons, color swatches, & image swatches for your product options & variants options. Add code to customize even further."
11,In stock Variants Options,"Visually shows what product options/ variants options are in and out of stock with our swatches, buttons, and custom dropdowns."
12,Auto Order Confirmation,Auto order confirmation via phone call & SMS for Cash on Delivery (COD) orders.
12,Reduce return ratio & cost,Reduce product return ratio and save your valuable time for unnecessary shipments because of fake/dummy orders.
12,Easy to manage,Tags for filter and process orders easily.
13,Increase sales & customers,Customer feedbacks can help you to increase the sales of your products and achieve higher customer satisfaction.
13,Easily customizable forms,"Build up your own form or use pre-built templates. Use it for product reviews, store feedback, contact form or any kind of forms you want."
13,Fits into your site's design,Look of forms and reviews inherit the styles of your site. Or you can add custom styles for each element.
15,Delight Your Customers,Delight your customers through delivery scheduling app and giving them an option to deliver your Product on a Specific Day and Time.
15,Block Specific Delivery Option,"Don't want to deliver on Specific Days & Time? No worries, delivery
schedule app will help to block date/time according to availability."
15,Limit Order Delivery Time-wise,Reduce number of orders to deliver per day through delivery schedule app and set cut-off time to place orders for the same day delivery
17,Color & Image swatches,Use Color & Image Swatches with your Shopify product options.
17,Make it fit your store theme!,Choose between a variety of swatch themes.
17,Easy to use & Instant-Install,No programming/coding skills are required. (The App automatically get installed and works seamlessly with your theme)
18,Import Products Painlessly,"Quickly migrate product variants, categories, images and descriptions from WooCommerce to Shopify."
18,Transfer Customers and Orders,Move your customers over to Shopify while retaining their order history. Generate activations links for customer accounts.
18,Export your Product Reviews,Generate an export of all your WooCommerce reviews to use with the Shopify Reviews app
19,Customizable gift cards,"Say goodbye to the default Shopify gift cards design and let customers choose from hundreds of designs, add a personal note and more"
19,Huge selection of designs,"Hundreds of designs for everyday occasions, birthdays, holidays and more — with more added frequently"
19,Sell more gift cards,Increase sales by offering customizable gift cards that are also printer friendly and can be redeemed via the Shopify POS
20,Highlight Products and Sales,Use stunning images and videos in your video gallery to highlight new arrivals and upcoming events!
20,Easy Customization,"Easily design your video gallery with custom buttons, colors, call-to-actions and text!"
20,Improve Customer Engagement,Add alt text to your video gallery to rank better in search engines & increase time spent on your page with beautiful media.
21,Create a Video Gallery,Create unlimited video galleries with this app & add your Youtube or Vimeo Videos into it. Just install the EVM Video app & configure.
21,Easy to Setup & Configure,This Video app is easy to setup & configure. It doesnt require any coding at all to setup. Top rated app for youtube and Vimeo video
21,Responsive Video Gallery App,Video Galleries from this app will be fully responsive for mobile devices and looks perfect both in desktop & mobiles. Responsive video app.
22,Better search experience,"Let your customers filter by price, availability, vendor, type, tag and more."
22,Flexible form builder,Create product lookup forms that work best for your business.
22,Automatic installation,Automatic installation into your theme. No coding required. Trivial setup. Easy to use.
23,Improved store navigation,Simplify search process and store navigation for your customers with customizable model search widget
23,Simple search integration,"Easily manage your filter dropdowns (Year Make Model) search database from the app backend, or import existed CSV file"
23,Easy installaion,Set up Year Make Model search widget in a minutes with pre-loaded automotive database
24,More organic search traffic,"Get more organic search traffic from Google, without having to fight for better rankings by using Rich Results and Rich Snippets."
24,Increased conversions from SEO,Show your product details directly in the search results to increase the conversion rate from search customers.
24,"Safe, effective, and fast","We've helped thousands of stores acquire Rich Results since 2015, often faster than the industry averages (37 days vs 240-390 days)."
25,Get higher SEO ranking,Get more traffic and better ranking on search engines by speeding up your store.
25,Increase your conversion rate,Increase your conversion rate and don't lose customers anymore due to slow loading time.
25,Find out why your site is slow,Run detailed analysis on your store and find out what makes it load slowly.
26,Save Hours of Work,"Dynamically edit prices, descriptions, tags, inventory levels and much more with smart rules and placeholders"
26,Full Control Over Edits,"Preview the results of your edit in real time. Schedule, cancel, clone or undo any edit."
26,Do More With Spreadsheets,Export just the product fields you need to a spreadsheet. Upload spreadsheets to the app to modify your products
28,Find images for your products,Does your store have products with missing images? The ImageFinder can find new ones for you.
28,Replace annoying placeholders,Does your dropship supplier use placeholder images? These generic icons can make your store look bad. Replace them with real images.
28,Professional looking store,Would you buy a product that you can't see? Products without images don't sell. Improve sales with the right pictures.
29,Image Compression&Optimization,"With properly compressed images, your website will load faster. This will make your customers happier and increase your conversion rate!"
29,Image Compression&OptimizationTwo,Search engines use the information that alt texts and file names provide to determine the best image to return for a search query.
29,Image Compression&OptimizationThree,Get fast and friendly customer support from the Image Optimizer team. We'll do our best to help even if the problem lies somewhere else.
31,Display Feeds Widget Anywhere,Facility to showcase twitter feeds anywhere on the store according to your choice.
31,Customize Your Twitter Widget,"Several settings are available to customize widget look-n-feel like background color, text color, data link color etc."
31,Sharing Facility for Tweets,Allows to create share button which shares information of tweets in the form of URL. 
32,Fully responsive layout,Make sure your maps and videos are fully responsive and looking properly across all the devices.
32,Responsive videos,Flexible video aspect ratio. Configure embedded videos dimensions according to your needs.
32,Improved usablity,"Improve your Store usability in two clicks, no more cut off videos or maps on mobile devices, make your store fully responsive."
33,Boost your SEO,Designed to increase web traffic by optimizing your entire shop!
33,Get a Faster Website,With compressed photos your website will load faster!
33,Use Artificial Intelligence,Rename your photos to match popular Google search keywords!
34,Recover inactive customers,"Convert inactive customers into sales with your shop's browser tab. When customers switch tabs, Please Stay brings them back."
34,Complete tab customization,"Completely customize your tab with animations, messages, favicons and triggers. Easy to use dashboard makes customization insanely simple."
34,Track the money you rescue,See exactly how much money your new supercharged tab brings back. We'll track how much money is recovered and visitors brought back.
35,No Upfront Costs,"No setup, minimums, or monthly fees, only pay per order."
35,Quality Print-on-Demand Items,"Our in-house team controls the quality of 160+ print-on-demand product variations, ensuring every print meets our standards."
35,24/7 Customer Support,Our dedicated customer support team always has your back.
36,Quickly reach to products,The app will help you to find out your desired product step by step in less time.
36,User friendly features,"When drop-down loaded on the site, Anyone can easily understand what is the use of this feature."
36,Helpful in Several ways,App can be used in different stores like Vehicle / Bike / Cars /  Tires / Boats / Printer / Cartridges / Parts / Restaurant
38,Product images on spreadsheet,With the help of this app you can export product images directly on spreadsheets.
38,Variant images on spreadsheet,With the help of this app you can export variant images directly on spreadsheets.
38,Very simple to export,On this app export of images on excel is as simple as clicking a button.
39,Upsell or cross-sell products,"Showcase upgrade options, bundles, packages and all other product options in a side-by-side price comparison table."
39,Simplify customer decisions,Distinguish your best product with the ‘highlight’ feature to make it stand out and capture shoppers’ attention in your price table.
39,Customize your price table!,"Make it fit perfectly with the design of your site. Choose your own colors, sizes, fonts, number of plans, number of features and more!"
40,Fully customizable shipping,"Offer per item rates, Combination pricing, wholesale/retail rates, hide rates when certain items are purchased.
DIY or Fully Managed"
40,Advanced scripting capability,"Pack items with multiple boxes of different sizes, use multiple origin locations, time based shipping rates, local pickup, the list goes on!"
40,3rd Party integrations,"Bespoke offers a variety of integrations with 3rd party carriers, If yours isn't listed, get in contact with us to discuss options!"
42,Engage customers,Entertain them with a fun game of memory and reward them with discounts
42,Increase revenue,Happy customers spend more money and are more likely to become brand evangelists
42,Reach new customers,They will happily give you their email address
43,Show Related Articles,Keep your readers engaged by showcasing the most relevant articles to them.
43,Show Related Products,Turn readers to shoppers by featuring the products most related to the article being read.
43,Show Related Product Articles,Add related content to your product pages such as reviews and recipes to drive buyer decisions
44,Email reports on the go,"Simple to use, yet advanced store sales performance reports that you get right in your inbox."
44,Enterprise level metrics,Make data-driven decisions based on your store performance by tracking 14+ enterprise-level analytics and reports on the go.
44,"Daily, weekly & monthly report","Statbox provides daily, weekly and monthly sales performance reports directly to your email."
45,FAQ for A+ Customer Experience,Add a custom FAQ with answers to commonly asked questions! You can even have the answer to your most popular question remain open.
45,FAQ to Boost Conversions,Remove blocks to sales by making vital product info easily accessible to customers in your FAQ.
45,FAQ to Unblock Customers,"Share important brand and product details to instill trust in your customers, such as returns, cancellation and shipping information."
46,No more back-and-forth emails,Customers can easily upload files to orders without your intervention
46,Huge files aren't a problem,Tested for up to 3 GB
46,One storage - your Dropbox acc,Uploaded files are no longer scattered around in your inbox - they are neatly stored in your Dropbox account
47,One click navigation,No more typing - customers can get directions with one click
47,Accuracy matters,No one gets lost by using Google Maps
47,"Your locator, not ours","Completely tailored to your store. Fonts, colors and map styles can be customized."
48,Add code to your stores <head>,"Add code, scripts, styles, meta tags and more to individual or across all products, collections, pages, blogs and more!"
48,Add anything you want,"You can add anything that belongs in the head section of a HTML page. This can include custom meta tags, tracking scripts, styles and more."
48,Easy to use dashboard,"The app dashboard is easy to use, simply paste in your custom code, hit save and you're good to go."
49,Know which ads work,Stop throwing away money on Pinterest ads that just don't convert. See exactly which promoted pins are working.
49,Retarget the right audiences,"Recover lost sales by laser-targeting promoted pin audiences. Target on Pinterest down based on product views, add to carts and checkouts."
49,Insanely simple installation,Save time with our ridiculously simple plug-and-play integration. No code to add or themes files to edit. We're also always here to help.
50,Create Size chart,Simple to create multiple Sizing chart for your products.
50,Automatic Conversion,Automatic unit conversion Inches to centimeters or vice versa.
50,Fully Customizable,Customize the layout and style of your size chart according to your store brand. We are also providing custom templates designs.
51,Add Google Customer Reviews,Collect Google Customer Reviews which contribute to your Google Seller Rating for use on Google AdWords and Google Shopping products
51,Data sent straight to Google,"When Customers opt in to receive a Google  Customer Review Survey, Google will handle sending the review and receiving the review feedback"
51,We add the Google Code for you,"Just enter your Google Merchant Center ID, specify the position of the Google Seller Rating badge on your site and you're all set"
52,Speedy search results,Get product and collection search results back to your customers instantly.
52,Simple install,Easy install.  No coding required.  Click-and-tick configuration.
52,Better value,Keep it all in Shopify!  No separate account required.  Uninstall to stop billing at any time and massive free trial.
53,Compare products in your store,Enable your clients to effortlessly compare products in your store using an easy to understand popup.
53,A better shopping experience,Create a better shopping experience for your clients by giving them a simple way to decide what's right for them.
53,Exactly the way you want it,"Change colors, labels and behavior to perfectly match your store with the easy to use control panel."
54,Boost sales,Show your Instagram content on your store to create social proof. Inspire your customers to buy new products they love.
54,Increase Instagram engagement,Expand the reach of your Instagram to your store visitors. Get more followers and likes.
54,Save time,Display your Instagram content in less than one minute using a simple and intuitive editor. No coding skills required.
55,3 Emails Per Cart,Send up to 3 abandoned cart emails per abandonment 
55,Data Driven Analysis,Boost conversion with email activity full logs
55,One Click Install,Start recover abandoned checkouts in one click
56,Increase sales and visits,"By having an affiliate program, your affiliates will promote your store for you and thus increase your sales!"
56,Track and manage affiliates,Track and manage every aspect of your affiliates and program. See details about referred visits and orders.
56,30 days free trial,Test the program with all of its features and functionalities for 30 days without charges.
57,Sticky ATC & Checkout buttons,Makes it as easy as possible for your customers to make a purchase with Sticky Add To Cart and Checkout buttons
57,Impossible to miss Sticky Cart,Have your cart always visible for easier checkout! With Sticky Cart it will be impossible for your customers to miss checkout.
57,Quick Buy on product listings,"Allow your customers to buy directly from product listings (whether they are on homepage, collection page, widget etc...)!"
58,Translate your store easily,Add 100+ languages in your store. Increase your global sales by reaching new customers
58,Powerful translation tool,Talk to your visitors in their native language which will help to increase the conversion rate
58,Quick and easy setup,Start translating instantly — no coding skills required
60,Increase customer loyalty,Increase your sales! Attractive incentives motivate customers to come back more often
60,A large variety of offers,"Buy X get Y (BOGO), Buy 2 get 1 free, Purchase over 500 USD get 1 (or many) free and many more..."
60,Boost sales on up-sell banners,Banner promotion in the cart helps customers know exactly how close they are to receive a promotion!
61,Sticky bar Configuration,Setting of the Sticky add to cart bar
61,Help and FAQ,Help and FAQ page for sticky bar
61,Sticky frontend View,Sticky Bar frontend view
62,Get Customers to Promote,Your customers will now be able to become your biggest advocates.
62,Expands Your Audience,You will be able to reach a new audience.
62,Generate Leads From Your Site,Every page of your website can now become a lead magnet.
63,Countdown for more sales,Announce promotions with a countdown. Create a sense of urgency to boost sales by alerting the user that current deal is nearly over.
63,Countdown with a custom button,Direct customers to the right page on your site with a redirect button for your counter
63,Countdown timer per visitor,Display a timer for each new visitor to your site - perfect for counting down to the end of a discount for new customers only.
64,Increase Repeat Purchases,Increase repeat purchases by encouraging customers to come back and redeem their points.
64,Branded Experience,"Upload your logo, pick your colors, name your points - customize everything to fit your brand image."
64,Gain Customer Insights,"Gather powerful customer insights directly from EVERY, and use them to grow your business."
65,Email Subscribe,"Have your customers subscribe to your emails.
Add Spin and Wins, Timers etc to increase the subscription rate!
Offer coupons for subscribing"
65,Notifications,Notify your customers about the offers usng the stylish notification pop ups.Select from a  wide variety of templates
65,Surveys,Create surveys and get the feedback from your customers.Configure logical path to render the questions based on the responses.Offer coupons
66,Powerful Drag'n Drop Editor,Easily create stunning email campaigns with the best Drag'n Drop Editor of the market.
66,Integrated purchase data,Automatically add customers and their purchase data to MoonMail.
66,Free Email Templates,Get access to hundreds of Free Email Templates!
67,View all low stock variants,Real-time web report showing all variants with inventory below your set threshold
67,Drill-down into a product,Search by product name or SKU to view current inventory of all variants of the product.
67,Export Results to Excel,Download the low stock web report as an Excel-friendly file
68,Sales Reports,"View sales, customers and orders compared to the previous day, week or month"
68,Inventory Reports,View top-selling products and how much inventory you still have in stock
68,Custom Reports,Need additional metrics? We can build a custom report for your store(s)
69,Start immediately,"Offer intelligent, relevant and blazingly fast product recommendations with hassle free configuration and customization."
69,Build your business case,"Craft recommendations into a custom business case scenario with upsells, cross-sells, tag based recs, rules, pins, i18n, emails and more."
69,Grow your revenue,Boost sales by turning casual visitors into buyers with improved conversion rate. Maximize the value of every visit to the site.
70,Capture custom information,"Create optionally required fields that show on the cart page. Supports text, number, checkboxes, radio, dropdown and text area fields."
70,Get the information you need,"Ensure you capture the information you need with every order, easily accessible within the Shopify Admin."
70,Easy to install & uninstall,"Install and uninstall process is simple and completely automatic, but we are here if you need assistance with setup and customization."
71,Export product & variant id's,This app help you by giving you list of ids of all your Shopify products & variants.
71,Facebook sheets,This app help you by giving you columns of Facebook sheets.
71,Google merchant sheets,This app help you by giving you columns of Google merchant sheets.
72,Email Newsletters,Automatically create emails from your newest blog posts.
72,Drag and Drop Editor,Choose from over 700 mobile responsive email templates.
72,Email Automation,Easily create automated email sequences with our drag and drop editor.
73,Boost conversions with videos,"Use your video slider to announce sales, promotions, and new products and attract customers to your most popular products."
73,Personalize your video slider,"Customize your video slider with titles, transitions, sizing and playback controls. Add videos from YouTube, Vimeo or upload your own!"
73,Engage visitors with videos!,"Videos are a great way of  showcasing your products and keeping customers engaged with your site, so they’re more likely to take action."
74,Automatic popups,"Grow your mailing list using automatic welcome popup with Subscription form integrated with MailChimp, ActiveCampaign or Aweber."
74,Exit intent popups,Increase your conversion rate using exit intent popup with special offers for leaving customers.
74,On-click popups,Add popups with sizing guides or shipping details to your product pages with on-click popups.
76,Improve store UI with videos,Increase your conversion rate with the video illustrating your products' benefits
76,Videos for your products,Easily add YouTube or Vimeo video to any Product Image
76,Cusomizable video layout,Popup or inline video layout and flexible video settings
80,Extend to match your business,"Extend your store with custom fields to match your business. Using Accentuate, you can define your own fields for any Shopify object"
80,"Text, images and cross-refs","Easily define text fields, checkboxes, selection lists, images and more. Build cross-references between Shopify objects. Optimize any image."
80,Easy integration,"Integrates directly with your design theme using Liquid. Based on Shopify metafields, ACF provides both data security and performance"
81,Up to EU standards,Make sure customers understand and agree with your terms & conditions or legal requirements.
81,Easy Customization,Add terms and conditions checkboxes anywhere you want on the cart or drawer and customize them to suit your needs.
81,Works both cart and drawer,No code needed to show checkbox on cart or drawer. Just install and you are set
82,Are you losing customers?,Are you struggling to grow your repeat purchases because your customers are defecting? Find out where in their lifecycle you're losing them.
82,Data-driven marketing advice,"Don't just blindly try marketing tactic after marketing tactic, hoping that a random one will grow your revenue."
82,Not sure what your data says?,You need visibility into exactly what's going on with your repeat customer purchases so you can better target your best customers
83,Increase Conversions,Beautiful and Responsive galleries will attract more product views.
83,Highlight What Matters!,Show off how your customers are using your products with Galleries.
83,No limits!,Over 7 Million Images being served. There is no limit on galleries or images - that too served from CDN.
84,Shipping updates automatically,When Fastway or Australia Post update their rates your store will automatically update.
84,Link to your individual rates,Do you have a special rate with Fastway? You can display these on your store.
84,Customise available units,"Hide or show available units on your store.  Don't provide Express, then don't show? Don't provide Local shipping? Then hide it."
85,Save time and money,"Manually integrating your shop with Kissmetrics is time intensive, hard to figure out & expensive. Our 1-step setup saves you time & money!"
85,Focus your expertise,Spend the time and money you save in implementation on leveraging the power behind Kissmetrics to improve your shop and marketing.
85,Make more money,Once you understand your customers better you can more accurately target them and produce higher value for them.
86,Helps customers to match & buy,Helps the customer to compare & purchase the best product from available similar products on the store
86,Compare features & rates,Customer can easily compare the features & rates of the products before they buy
86,Sharable compare list,"Compare list can be sharable, so that customer can take help to make decision from others before order"
87,Order Sync Application,Order Sync Application will help you to synchronize Amazon orders with Shopify store with ease.
87,Pull orders from Amazon,Pull orders from Amazon automatically.
87,SKU Mapping system,This application has marvelous SKU Mapping system.
88,Offer accurate shipping rates,Offer accurate real-time shipping quotes based on your negotiated rates and the correct determination of actual vs. dimensional weight.
88,Multiple stocking locations,"Define multiple warehouses and assign drop ship locations to products that ship from vendors, suppliers and fulfillment centers."
88,Control how quotes display,"Options for services, box sizes, residential delivery, in-store pick up and local delivery puts you in control of your shipping quotes."
89,Stay Informed,"See all of the items needed by your open orders, monitor your inventory, and track items that have been prepared for fulfillment."
89,Work Smart,Know exactly which orders and items are in stock and ready for fulfillment.
89,Access The Data You Need,"Say goodbye to spreadsheets and tallying -- our system does the work for you. Create pick lists, sort, filter, and print."
90,Instant-Edits,Make bulk edits on hundreds of products instantly.
90,Save time,Reduce the amount of time you spend editing single products.
90,Advanced edits,Filter and make modifications on specific or broad products in few clicks.
91,Offer accurate LTL rates,Improve conversions on large items and orders by offering accurate real-time LTL freight quotes based on your actual negotiated rates.
91,Define drop ship locations,Obtain accurate shipping rates when orders are sourced from multiple warehouses or drop shipped from vendors.
91,Control how quotes display,"Options for residential delivery, lift gate delivery, in-store pick up and local delivery puts you in control of your LTL freight quotes."
92,Update Multiple Products,With Updater you can update multiple products and variants quickly
92,Update Variant Attributes,"You can easily update each and every one of your variant's attributes, in one shot"
92,Save Time,Updater provides you with a convenient tool to make changes quickly so that you can get to the more important stuff
93,Show sold & available stock,Display total sold quantities and available stock
93,Stock out can create urgency,Increase your e-commerce sale by showing your number of sold items
93,"easy to install, easy to setup",Easy to install & Easy to customise display text
94,Category-based,Categorise to make your products easier to find (search for) and discover (stumble across)
94,Breadcrumbs for collections,Unique breadcrumb links for each collection in your category tree
94,Embed,Simple liquid embed to replace your theme's current top > bottom breadcrumb
95,Countdown Timer,Urge your customers to take advantage of a sale immediately with a countdown timer.  Configure the timer with multiple modes and styles.
95,Inventory Progress Bar,Multiply your Scarcity strategy with an inventor progress bar for extra effect. Configure the progress rate and color to fit your strategy.
95,Dynamic Countdown Text,"Use decreasing numbers in your Scarcity messaging to emphasize your limited supply, or use increasing numbers to simulate social proof."
96,Categories in your menu,Categorise to make your products easier to find (search for) and discover (stumble across)
96,Simple to install and maintain,Requires no HTML coding or modification of your current theme
96,Multiple levels of categories,"Show categories, sub-categories, sub-sub-categories, etc., all from the menu using Shopify Navigation"
97,Turn a store into an app (PWA),"Frictionless user experience with no need for an app store, keep your customers in the loop with your store presence in their pocket."
97,Sell faster with PWA,PWA's increases sales by helping you to communicate the right message to the right people at the right time with Push Notifications.
97,PWA works with your apps,"PWA is Compatible with other Shopify apps, fits perfect with your business model, wholesale ready and smile.io Rewards integrated."
98,Automated notifications,Allow your customers to subscribe for products and get notified automatically when you lower the price and place products on sale.
98,Be closer to a customer,Modify prices according to customers wishes.
98,Fully customizable app,Adjust the design of a subscription popup to match the design of your store.
100,Return Multiple Products,Allow customers to return multiple products in single return request
100,Graphical Reports,"Get Bird's eye view of the Most Returned Products, Most Common Return reasons etc"
100,Send Prepaid Shipping Labels,Send prepaid shipping labels to customers.  Let customers print their own prepaid shipping labels
101,Fully compatible,"Fully compatible, responsive & easy to install."
101,Automatic and manual cart,Providing Manual cart dropdown and Automatic Fixed cart sidebar.
101,Customize,Customize cart colour and text according to your theme.
102,No more copy and pasting!,Parcel Intelligence will export all your orders into a CSV so you don't have to copy and paste!
102,Reduce errors,Parcel Intelligence checks orders for errors such as postcode and suburb names and suggests fixes.
102,Automatic tracking numbers,Parcel Intelligence automatically fulfils orders and uploads tracking numbers.
103,Beautiful email templates,Your store emails are your highest opened. They should match your brand — do yours?
103,Drive repeat purchases,"We have driven millions for Shopify merchants using product recommendations, discounts and referrals within their email templates."
103,Dedicated support,Leverage on-going support to maximize your marketing efforts from our customer success team in Canada.
104,Increase your Conversion Rates,Increase your customers retention by giving them a coupon code on the Thank You Page after they make a purchase.
104,Various available Themes,Customize the Pop Up Box by choosing from various themes.
104,Customizable,Activate Pop Up only for orders above a certain total price.
105,Unlimited Color Swatches,Break the 100-variants/product limit! Create as many product colors as you want!
105,Separate Colors as products!,"Each product can have it own pictures, description, prices..."
105,"Zero-coding, Instant-Install!",Easy to use app and requires no coding! Instant install and leaves no code residue (It has a 100% free trial period).
106,Perfect for Sales and Holydays,Most of Sales or Holiday Sales ends in a specific Date. Let your customers know that this price will not be there forever. * Take Action! *
106,More Purchases. Now!,Customers tend to be lazy to buy. By showing the Timer you create Urgency and Visitors tend to Complete Purchases as soon as possible.
106,Zero Maintenance,Don't waste your time creating Timers every day. The Sales Countdown Timer has an option Always ON. Improve Conversion Rate every day!
107,Know your customers,Know your customers by letting them tell you what they want!
107,Increase your Conversion Rate,Increase your conversion rate by answering your customers questions.
107,Get Feedback,Get precious feedback and suggestions.
108,Manage orders with order tags,Filter your orders by tags and make order management and fulfillment a breeze.
108,Automate tagging with rules,Apply tags to orders based on the value or presence of order attributes that you specify in your rules
108,Flag important orders,Bring orders that need special treatment or extra scrutiny to the attention of the right person by applying order tags
109,More Revenue per Sale,"By making the Add-To-Cart action a lot easier and friendly, the average number of items on each Shopping Cart are increased substantially."
109,More Call To Action Buttons,Call-to-Action buttons are the Cheaper and Easier way to make user take relevant actions(Add To Cart and Checkout) on your Shopify Store
109,"All-In-One App, 3 in 1",We made Add To Cart Checkout Booster putting together all Call To Action tools that works in 1 app. Sticky Bar + 1-Click To Cart + Quick Buy
110,Improve product presentation,"Add an animated gallery, slider or carousel to your product pages. Improve the quality of images. Resize images and add a video gallery."
110,Variant images & Image Zoom,Allow your customers to zoom-in images and show variant-specific images only. With our app you can assign multiple images to a variant.
110,Mobile-friendly product images,The content automatically adjusts to all screen sizes. Images can be easily browsed on mobile devices with the touch of a finger.
111,All-in-one wholesale app,"All you need to manage wholesale store & membership groups: auto-tagging, email marketing, unlimited wholesale statuses, flexible settings"
111,100% compatible membership app,Set several wholesale price levels. The app doesn't duplicate products and compatible with all inventory management apps
111,Apply wholesale pricing easily,The only wholesale & membership app with 24/7 fast live chat support. Set up your wholesale pricing in 1 day!
112,Easy to set up and use.,All the data is at your finger tips with intuitive user interface. Bulk import your cost prices ( COGS ) to get up and running quickly.
112,Powerfull Reports,Our reports allow quickly  breakdown your data. No more spreadsheets to manage your costs.
112,Excellent Support,We pride ourselves on offering responsive helpful support. Have a question or a feature request reach out and we will help.
113,As Easy As... ,"Install, choose your charity and launch. In less than 10 minutes, your store and/or your customers can donate seamlessly with each purchase."
113,Competitive Landscape,Build customer loyalty by connecting people to causes they’re passionate about. It’s proven: people are loyal to a company that gives back.
113,Giving = Growth,"Integrating social good strengthens customer relationships, plus you’ll save by using an end-to-end solution that provides tax receipts! "
114,Increase your Conversion Rate,Welcome your customers and Give them offers = More sales!
114,Customizable,"Customize the announcement bar colors, button label and even select what countries you want to show the bar (useful for free shipping offers"
114,Easy to use,Easy to use but has powerful options.
115,Show recent sales notification,Sales Pop will boost sales with credible sales notifications! Sales pop as social proof will boost your customers confidence!
115,Add to cart popups,Translatable cart popups will help you if you don't have many sales. They will show when one adds a product to the cart.
115,Boost sales with urgency,Sales pop will show your most recent orders and help you boost your sales just like it helps everyone else!
116,Automatically redirect a user,Automatically Redirect user to different store based on his IP address.  You may also Display a redirect Message in a Popup Box or Top Bar
116,Increase Conversions,Redirect visitors to the store designed for their region. This will boost conversion for your Ecommerce Business
116,Google Bot / IP Exclusion,"App does not redirect Google Bot, so rest assured that all versions of your store will be indexed by Google. App also supports IP exclusion"
117,Stop wasting time,Reduce the amount of time you spend when fulfilling orders.
117,Notify your costumers,Send emails to costumers with the new updated information.
117,Multishop management,Update the information of your orders from different shops at once.
119,Instant sharing with WhatsApp,"Instant sharing using WhatsApp, Your customer or visitors will be your promoter. Now Store visitor can chat with admin directly on whatsapp"
119,Increase traffic & conversion,Get high conversion rate through mobile visitors. Let them share your store with their whatsapp contacts.
119,Customer will be your promoter,"Customer can share your store, products, collections & articles among their WhatsApp app contacts and Groups"
120,Recover abandoned checkouts,Bring back your Shopify store visitors who moved to another tab by blinking your store tab
120,Create a sense of urgency,"Increase your revenue by adding urgency to your cart: If there are some items, display a message “your cart will expire soon”"
120,Get a synergistic effect,Perfect to use together with an abandon email apps.
121,Increase Conversions,Show a Timer. Create a sense of urgency to boost sales by alerting the user that current deal is nearly over.
121,Choose more Templates,"We make more templates, both of free and paid that you can choose the one that best suits your shop."
121,Automatically Renew,Don't worry timers will end because we can set it to automatically renew. You will be able to set a shorter timer and let it work auto.
122,PreOrder Products,"Replace ""Add to cart"" button with ""PreOrder now"". Add ""Available from: MM/DD/YYYY"" label. Allow customers to buy before release date."
122,Coming Soon Products,Make a product unavailable for purchasing until selected date. Add availability note and automate product publication.
122,Fully Customisable,Each text applied by the application can be customised for your needs. You can also optionally add badges to collection pages.
